source	disposition	target_or_reason
mutation-proof-injection-point-is-a-reachability-tell	DUP	agent/memory/fleet/mutation-proof-injection-point-is-a-reachability-tell.md (checked-in copy current; no fold)
my-code-holds-up-and-my-comments-overclaim-their-scope	DROP	covered loosely, extensive existing prose-overclaim family
my-own-doc-publishes-recut-an-in-flight-docs-candidate	DROP	narrow; structural fix (PROG-TRACKER-MERGE-DRIVER) already applied
my-own-refutation-inherited-the-sole-reader-claim-i-was-refuting	DROP	covered loosely, quantifier-inheritance family already extensive
my-own-tracker-capability-landed-line-can-be-stale	DUP	agent/memory/roles/steward/my-own-tracker-capability-landed-line-can-be-stale.md (checked-in copy current; no fold)
my-publisher-self-match-filter-excludes-my-own-background-publisher	DROP	fix already applied directly to procedures per file's own text
name-a-mutation-by-its-injection-point-not-by-its-effect-two-sites-share-one-english-description	DROP	covered loosely, mutation-testing family already extensive
name-context-depth-as-the-reason-you-stopped-rather-than-manufacturing-a-boundary	DROP	covered loosely, honest-reporting family already extensive
name-the-base-each-side-of-a-before-after-was-measured-on	DROP	covered loosely, measurement-timing family already extensive
named-floor-must-be-grepped-not-assumed	DUP	agent/memory/build/named-floor-must-be-grepped-not-assumed.md (checked-in copy current; no fold)
naming-the-operand-in-the-ac-is-not-enough-the-code-seam-names-one-too	DROP	covered loosely, AC/mutation family and CHECKS#8
narrowing-an-over-broad-mechanism-for-liveness-can-reopen-a-soundness-hole-it-was-silently-carrying	DROP	proposed for promotion, not taken: covered by the deleted-guard lesson now promoted and CHECKS.md#2
narrowing-an-overclaimed-premise-without-regrounding-the-conclusion-makes-it-worse	DROP	covered loosely, quantifier-narrowing family already extensive
need-not-is-not-must-not-and-presence-is-not-consumption	DROP	narrow single-incident WP-specific reading
negative-landed-claim-grep-the-rust-prelude-emission	DUP	July migration: agent/memory/fleet/grep-rust-prelude-emission-for-landedness.md
nested-frame-discriminator-needs-both-reaching-opposites-distinct-identities	DUP	agent/memory/build/qa/discriminator-negative-arm-must-be-expressible-and-reaching.md
never-commit-doc-only-work-while-checked-out-on-a-scratch-rebase-branch	DROP	real but narrow git-hygiene incident; not promoting
never-complete-an-abbreviated-sha-cite-rev-parse	PROMOTE	new agent/memory/fleet/never-complete-an-abbreviated-sha-cite-rev-parse.md
never-git-stash-in-a-shared-multi-worktree-repo	DUP	agent/memory/fleet/git-checkout-ref-dot-silently-reverts-uncommitted-edits-worktree-wide.md
never-infer-a-seats-tier-from-its-role	DUP	agent/MODELS.md
never-put-another-seats-pending-state-in-your-own-status-line	DROP	covered loosely, status-line honesty family already extensive
never-reached-does-not-mean-a-step-is-missing	DROP	covered loosely, attribution family already extensive
never-reached-is-two-different-facts-and-only-instrumenting-every-route-tells-them-apart	DUP	agent/memory/CHECKS.md#2
no-full-local-cargo-builds-targeted-only	OPERATOR	listed for the Steward (not placed in the corpus)
no-wp-token-identifiers-in-production-source	OPERATOR	listed for the Steward (not placed in the corpus)
nocapture-output-from-parallel-tests-interleaves-and-manufactures-phantom-sequences	DROP	covered loosely, measurement-methodology family already extensive
node-throughput-is-not-objective-throughput	DROP	narrow single-incident Steward coordination metric
non-total-is-established-uncloseable-is-not-when-the-closing-deliverable-was-never-attempted	DROP	narrow single-incident frame/AC nuance
nothing-pushed-is-not-a-safety-property-it-is-a-durability-hazard	DUP	agent/memory/fleet/every-verification-instrument-passes-on-a-candidate-that-was-never-pushed.md
notify-adversary-on-every-code-merge	OPERATOR	listed for the Steward (not placed in the corpus)
obligation-must-descend-into-structure	DUP	agent/memory/enclave/obligation-must-descend-into-structure.md (checked-in copy current; no fold)
obligations-route-to-ward-not-into-ken	OPERATOR	listed for the Steward (not placed in the corpus)
occasional-red-ci-beats-full-local-tests	OPERATOR	listed for the Steward (not placed in the corpus)
omega-type-partition-axis-is-codomain-class-pi-into-omega-impredicative	DUP	agent/memory/enclave/sigma-sort-pi-vs-sigma-over-equating.md
on-an-unlanded-candidate-there-is-no-cheap-follow-up-non-blocking-answers-risk-not-cost	DROP	covered loosely, fold/track timing family already extensive
one-snapshot-regrepped-is-not-three-checks	DUP	agent/memory/CHECKS.md#1
one-term-naming-two-artifacts-makes-a-satisfied-criterion-and-an-unsatisfied-one-look-like-the-same-check	DROP	covered loosely, ambiguous-terminology family already extensive
only-one-of-several-producers-may-be-armed-so-a-reordering-repair-does-nothing	DROP	covered loosely, CHECKS#6 population-before-mechanism family
opaque-primitive-constructible-not-destructible-format-gap	DUP	agent/memory/fleet/opaque-primitive-constructible-not-destructible-format-gap.md (checked-in copy current; no fold)
opaque-primitive-key-needs-one-extensionality-anchor	DROP	real but narrow/deep enclave-specific gap; not promoting
operator-directed-work-reported-by-an-agent-is-trustworthy	OPERATOR	listed for the Steward (not placed in the corpus)
operator-queued-l1-hs15-escalation-2026-09-12	OPERATOR	operator task state (resolved; listed for the Steward)
operator-queued-l2-exhausted-2026-09-12	OPERATOR	operator task state (resolved; listed for the Steward)
operator-return-two-decisions-2026-09-01	OPERATOR	operator task state (resolved; listed for the Steward)
operator-task-lieutenant-coord-and-main-repo-sync	OPERATOR	operator task state (resolved; listed for the Steward)
operator-task-memory-and-ci-program-2026-09-26	OPERATOR	listed for the Steward (not placed in the corpus)
operator-timezone-pdt	OPERATOR	operator identity (July: excluded-personal)
opus-enclave-authors-shovel-ready-wps	OPERATOR	operator ruling; July migration dropped it (listed for the Steward)
origin-main-moves-under-you-mid-turn-because-a-sibling-worktree-fetched	DUP	agent/memory/fleet/a-squash-merge-lands-the-diff-from-the-merge-base-not-the-diff-from-main.md
orphan-watchdog-timer-record-id	DUP	agent/memory/roles/steward/orphan-watchdog-timer-record-id.md (checked-in copy current; no fold)
orphaned-background-task-loops-leak-cpu	DUP	agent/memory/fleet/orphaned-background-task-loops-leak-cpu.md (checked-in copy current; no fold)
overclaimed-justification-check-the-consumed-property	DUP	agent/memory/fleet/grep-the-producer-not-the-cited-proxy.md
package-ecosystem-comprehensive-standard-small-contrib	DUP	agent/memory/enclave/package-ecosystem-comprehensive-standard-small-contrib.md (checked-in copy current; no fold)
pane-suggestion-text-is-not-agent-state	DUP	agent/memory/fleet/pane-suggestion-text-is-not-agent-state.md (checked-in copy current; no fold)
parameterise-safety-controls-over-every-rendering-shape-not-the-one-you-saw	DUP	agent/memory/fleet/verify-a-tmux-rouse-actually-submitted.md
parent-equals-main-passes-against-the-main-that-existed-when-you-cut-it	DUP	agent/memory/fleet/a-squash-merge-lands-the-diff-from-the-merge-base-not-the-diff-from-main.md
partial-oracle-wp-needs-conformance-fold-in-the-exact-merged-sha	DUP	agent/memory/build/mid-review-fix-inline-escalate-or-track.md
participant-status-timestamps-have-no-date-so-a-dead-seat-manufactures-a-loop	DROP	proposed for promotion, not taken: covered by the platform-partitioned pane-census lesson now promoted (convo status is last-set)
path-intersection-empty-is-not-publishable	DUP	agent/playbooks/federation/steward/merge-procedure.md
pending-ci-jobs-can-mask-a-run-startup-failure	DUP	agent/memory/fleet/a-stuck-required-check-is-not-slow-ci-and-rerunning-it-wedges-the-pr.md
per-compile-ids-collide-across-fixtures-so-a-census-undercounts	DUP	agent/memory/CHECKS.md#6
perf-primitive-vs-fix-the-evaluator-fork	DUP	agent/memory/enclave/perf-primitive-vs-fix-the-evaluator-fork.md (checked-in copy current; no fold)
pgrep-c-without-f-reports-zero-while-the-publisher-is-running	DUP	agent/memory/roles/steward/fetching-during-the-publisher-window-freezes-the-NEXT-publish.md
pi-codex-seats-have-a-272k-window-compact-late-not-early	OPERATOR	listed for the Steward (not placed in the corpus)
pi-seat-ctx-spikes-during-reads-reseat-not-compact-to-reduce	DROP	pi/moot-specific remediation tactic from one session, no shown recurrence
pick-the-reading-whose-error-is-cheapest-to-discover-not-the-one-that-costs-you	DROP	proposed for promotion, not taken: decision heuristic; not selected
piecemeal-continuation-authority-import-is-ownership-inversion-rule-a-single-static-owner-of-the-whole-subtree	DUP	agent/memory/fleet/hard-stop-chain-escalate-to-research-advisory.md
pin-a-transport-orientation-answer-semantically-never-by-a-k-m-letter	DROP	one exchange (D2b HS18); enclave transport/endpoint corpus already dense
pins-detectors-and-evidence-index	DROP	index file (injected MEMORY.md or a sub-index); no lesson content
placement-edge-is-the-direct-use-not-the-transitive-caller-chain	DROP	specific to one WP's module-placement dispute
playbooks-state-mechanism-not-intent	DUP	agent/memory/roles/steward/playbooks-state-mechanism-not-intent.md (checked-in copy current; no fold)
plumbing-commit-onto-held-branch-and-its-desync-risk	DUP	agent/memory/fleet/plumbing-commit-onto-held-branch-and-its-desync-risk.md (checked-in copy current; no fold)
population-and-matching-are-two-joints-and-a-headline-can-name-nobody	DUP	agent/memory/fleet/an-enumeration-needs-a-proven-closure-not-a-better-grep.md
postcompact-resume-watcher-false-positives-on-a-compaction-discussion-heavy-pane	DUP	agent/memory/fleet/compaction-is-manual-no-clean-seam.md
prefer-a-structural-answer-over-a-sampled-one	DUP	agent/memory/roles/adversary/the-demonstration-instance-can-be-the-extremal-one.md
prefer-an-instrument-that-fails-loudly-over-one-that-fails-silently	DUP	agent/memory/roles/architect/read-the-candidate-shas-ci-history-before-voting.md
prefer-the-number-the-producer-already-emits-over-one-you-count-yourself	PROMOTE	new agent/memory/fleet/prefer-the-number-the-producer-already-emits-over-one-you-count-yourself.md
prior-art-failure-modes-of-controls-that-pin-a-population-an-upstream-classifier-can-empty-vacuous-control-delegation-rot-subsumed-guard	DUP	agent/memory/CHECKS.md#8
probe-elaboration-ordering-resolve-and-elab-are-separate-phases	DUP	agent/memory/build/declaration-order-claim-needs-three-probe-net.md
probe-recursion-depth-before-writing-the-real-test	DUP	agent/memory/build/probe-recursion-depth-before-writing-the-real-test.md (checked-in copy current; no fold)
produce-the-analysis-a-flawed-instrument-is-a-caveat-not-a-prerequisite	OPERATOR	listed for the Steward (not placed in the corpus)
proof-attachment-encodes-membership-not-role	DROP	ruling landed verbatim in spec/30-surface/33-declarations.md; narrative superseded
proof-carrying-mechanism-mutation-reddens-at-elaboration-not-assertion	DUP	agent/memory/fleet/mutation-proof-injection-point-is-a-reachability-tell.md
proof-relevant-inductive-cannot-be-declared-at-omega	DUP	agent/memory/enclave/proof-relevant-inductive-cannot-be-declared-at-omega.md (checked-in copy current; no fold)
prove-the-fixture-enters-the-route-before-asserting-on-it	DUP	agent/memory/CHECKS.md#9
provider-content-refusal-is-a-distinct-stall-class	PROMOTE	new agent/memory/fleet/provider-content-refusal-is-a-distinct-stall-class.md
publish-and-git-index	DROP	index file (injected MEMORY.md or a sub-index); no lesson content
publisher-ci-red-is-accepted-operational-cost	OPERATOR	listed for the Steward (not placed in the corpus)
publisher-delete-stales-lease-prune-before-next-publish	DUP	agent/memory/roles/steward/consecutive-publishes-need-fetch-prune-branch-is-deleted-on-merge.md
publisher-force-pushes-stale-local-branch-not-target-sha	DUP	agent/memory/fleet/scripted-publisher-target-is-head-branch-never-main.md
publisher-landed-tree-log-line-is-not-the-squash-sha	DROP	narrow one-script log-line technicality; verify-independently theme already saturated in publisher corpus
publisher-output-through-grep-pipe-block-buffers-poll-lines	DROP	narrow shell-buffering gotcha; not independently confirmed still-current practice
publishing-a-measurement-means-publishing-its-extraction-and-selection	DROP	proposed for promotion, not taken: covered by fleet/publish-a-coordinate-from-the-git-object-and-name-the-sha-you-read.md and CHECKS.md#1
push-head-main-from-scratch-branch-lands-voided-ancestor-chain	DUP	agent/memory/fleet/a-merge-is-two-seats-the-router-and-the-executor-and-only-one-owns-each-merge.md
px16-home-path-libc-nss-sanctioned	OPERATOR	listed for the Steward (not placed in the corpus)
px7-resource-bracket-strategy-not-held	OPERATOR	listed for the Steward (not placed in the corpus)
qualifying-an-ac-to-match-what-you-measured-is-the-scope-cut	DUP	agent/memory/enclave/a-stated-impossibility-carries-a-qualifier-and-the-qualifier-is-the-escape.md
quoting-mutable-text-is-an-untracked-read-dependency	DUP	agent/memory/fleet/text-whose-truth-has-an-expiry-sits-in-an-artifact-with-no-alarm.md
re-pinning-a-frame-catches-a-moved-blob-but-the-finding-is-the-new-adjacency	DROP	specific WP re-pin incident; overlaps existing counting-callers family
re-read-latest-events-immediately-before-a-stall-nudge	DUP	agent/memory/fleet/re-read-latest-events-immediately-before-a-stall-nudge.md (checked-in copy current; no fold)
reachability-is-not-controllability	DUP	agent/memory/CHECKS.md#9
reaching-a-component-is-not-failing-at-it	DROP	real QA distinction but adjacent to existing failure-attribution/positive-control family; conservative cut
read-a-frames-outcome-menu-before-its-criteria	DROP	WP frame-reading discipline; narrower instance of existing criteria-vs-answer-shape family; conservative cut
read-a-register-at-origin-main-never-in-your-worktree	DUP	agent/memory/fleet/the-law-you-re-orient-against-is-your-branch-s-base-not-main.md
read-own-ctx-percent-via-capture-pane-before-self-compacting	DROP	architect-seat tooling footnote; narrow extend candidate; conservative cut
read-steward-lanes-md-three-lanes-never-collapse-to-one	DUP	agent/playbooks/federation/steward/lanes.md
read-the-candidate-shas-ci-history-before-voting	DUP	agent/memory/roles/architect/read-the-candidate-shas-ci-history-before-voting.md (checked-in copy current; no fold)
read-the-intern-function-to-decide-whether-a-read-back-is-an-independent-authority	DUP	agent/memory/CHECKS.md#1
read-the-participant-id-at-post-time-never-from-memory	DUP	agent/memory/roles/architect/architect-verify-leader-actor-ids.md
read-the-producer-before-writing-a-predicate-over-its-value	DUP	agent/memory/fleet/grep-the-producer-not-the-cited-proxy.md
reading-a-flags-value-is-not-reading-its-extent	DUP	agent/memory/fleet/mutation-proof-injection-point-is-a-reachability-tell.md
reason-in-agent-team-hours-not-human-days	DUP	agent/memory/fleet/reason-in-agent-team-hours-not-human-days.md (checked-in copy current; no fold)
reclassifying-an-arm-fails-loudly-at-matches-and-silently-at-filters	DUP	agent/memory/fleet/exhaustiveness-comes-from-an-unguarded-arm-not-from-the-match.md
reconcile-binds-a-co-reviewers-plausible-reading-too	DUP	agent/memory/enclave/reconcile-binds-a-co-reviewers-plausible-reading-too.md (checked-in copy current; no fold)
reconcile-own-over-claim-then-grep-coupled	DUP	agent/memory/enclave/reconcile-own-over-claim-then-grep-coupled.md (checked-in copy current; no fold)
reconcile-proof-rides-elaboration-merge-not-build-phase	DUP	agent/memory/enclave/reconcile-proof-rides-elaboration-merge-not-build-phase.md (checked-in copy current; no fold)
recursive-omega-proof-soundness-sct-plus-irrelevance	DROP	settled kernel design ruling (SCT-guarded proof recursion) landed in spec/40-runtime/43-termination.md
red-ci-is-a-priority-to-fix-not-a-merge-past-to-normalize	OPERATOR	listed for the Steward (not placed in the corpus)
reference-derived-corroboration-must-not-become-a-frames-cited-rationale	PROMOTE	new agent/memory/enclave/reference-derived-corroboration-must-not-become-a-frames-cited-rationale.md
reformat-gate-checks-meaning-not-layout-conformance	DUP	agent/memory/fleet/formatter-soundness-gates-are-blind-to-layout-conformance.md
refusal-behaviour-changes-gate-on-whole-consumer-crates	DUP	agent/memory/CHECKS.md#3
relaying-a-fix-at-a-different-layer-than-proposed-makes-it-unbuildable	DROP	specific relay-fidelity incident; adjacent to existing corroboration/citation-fidelity family
releasing-work-without-the-before-work-compaction-gate-spends-the-seats-turn	DUP	agent/memory/roles/steward/dont-gate-pipeline-fill-on-credit-cost.md
remove-temp-bundle-worktree-right-after-publisher-push	DROP	narrow one-incident steward procedural note; covered by publisher-window/worktree hygiene family
removing-a-capability-by-deleting-one-impl-leaves-every-other-spelling-of-it	DUP	agent/memory/CHECKS.md#3
repeated-defeats-of-one-checker-mean-the-default-branch-is-wrong	DUP	agent/memory/fleet/mutation-proof-injection-point-is-a-reachability-tell.md
repeated-rejects-mean-mis-sized-only-if-the-accepted-surface-is-flat	DROP	specific coordination-judgment nuance, too narrow to generalize
reply-to-errors-on-speaker-id-use-post-response-with-thread-id	DUP	agent/memory/fleet/mootup-posting-from-agent.md
reply_to-speaker_id-error-use-post_response	DUP	agent/memory/fleet/mootup-posting-from-agent.md
repointing-a-sentinel-needs-a-direction-argument	DROP	specific mutation/sentinel-authoring nuance, no exact hit, too narrow
reporting-an-inner-layers-visibility-makes-the-fleet-instruct-you-to-widen-it	DUP	agent/memory/CHECKS.md#1
reread-latest-events-before-acting-on-a-green-light	DUP	agent/memory/fleet/re-read-latest-events-immediately-before-a-stall-nudge.md
reseat-foundation-ring-to-pi-after-cat-gcd	OPERATOR	listed for the Steward (not placed in the corpus)
reseating-a-ring-is-the-stewards-job-to-execute-never-operator-run	OPERATOR	listed for the Steward (not placed in the corpus)
resolve-branch-can-pick-up-a-stale-shared-local-ref-from-another-worktree	PROMOTE	extended agent/memory/fleet/scripted-publisher-target-is-head-branch-never-main.md
resolve-the-decision-first-then-post-once	DUP	agent/memory/roles/architect/architect-gate-can-be-skipped-review-on-main.md
resolving-terminal-decision-drops-steward-merge-signal	DUP	agent/memory/roles/architect/architect-gate-can-be-skipped-review-on-main.md
resource-blowup-on-small-code-is-a-checker-bug	DUP	agent/memory/enclave/resource-blowup-on-small-code-is-a-checker-bug.md (checked-in copy current; no fold)
restructuring-a-mechanism-updates-the-nearest-comment-and-strands-the-leading-one	DUP	agent/memory/build/mid-branch-correction-regrep-whole-branch-for-stale-claims.md
retiring-a-criterion-leaves-live-dispatches-quoting-it-sweep-the-instructions-not-just-the-document	DUP	agent/memory/roles/steward/a-hypothesis-published-in-a-routing-post-is-executed-as-an-instruction.md
retiring-a-false-premise-can-delete-a-real-cost-it-was-standing-in-for	DROP	proposed for promotion, not taken: one ruling incident; not selected
reuse-declare-postulate-for-fail-closed-hardening	DROP	single-incident kernel example; already covered by docs/PRINCIPLES.md reflect-don't-extend charter
reused-wp-branch-name-frame-then-code-stale-ref-push-reject	DUP	agent/memory/roles/steward/consecutive-publishes-need-fetch-prune-branch-is-deleted-on-merge.md
reverting-a-probe-mid-run-turns-missing-evidence-into-a-finding	DUP	agent/memory/fleet/a-capture-that-wrote-zero-bytes-is-a-failed-capture-not-a-clean-build.md
review-a-correction-candidate-against-the-file-not-its-diff	DUP	agent/memory/build/mid-branch-correction-regrep-whole-branch-for-stale-claims.md
reviewer-independence-derives-from-context-not-model	OPERATOR	listed for the Steward (not placed in the corpus)
reviewers-review-branches-not-prs	DUP	agent/memory/fleet/reviewers-review-branches-not-prs.md (checked-in copy current; no fold)
reviewing-a-new-sum-type-constructor-requires-censusing-consumer-enumerators-not-just-producer-projections	DUP	CHECKS.md#3
route-a-steward-authored-branch-requires-pushing-the-ref-to-origin-first	DROP	codified in agent/playbooks/federation/steward/merge-procedure.md and tools/gh-access.md
rt-ssa-specialized-owner-kmatch-homed-out-of-source-continuation-chain-and-captures-absent-at-inlinenocall	DROP	resolved single-incident WP narrative (RT-COMPOSED-RETURN), no longer live
ruled-rows-are-fixed-points-not-rederivable-by-a-classifier	DROP	single incident; marginal beyond existing delegation-review lessons
run-the-discriminating-grid-before-asserting-a-causal-predicate	DUP	CHECKS.md#9 (agent/memory/fleet/a-green-pilot-is-not-evidence-for-a-shape-it-never-produced.md)
running-a-repo-script-from-the-wrong-worktree-reports-published-work-as-missing	DUP	agent/memory/roles/steward/bash-cd-main-repo-vs-steward-worktree.md
runtime-lane-is-the-linux-abi-completion-program	OPERATOR	listed for the Steward (not placed in the corpus)
rustdoc-symbol-dump-cannot-see-trait-impls	DUP	agent/memory/roles/adversary/line-closure-check-must-compare-whole-files-not-diff-hunks.md
rustfmt-formats-the-module-tree-not-the-file-you-named	DROP	single incident; narrow gotcha, marginal beyond existing diff-audit lessons
safe-facade-needs-complete-upstream-unsafe-contract	DROP	single validated incident (self-flagged); case resolved, unsafe call removed
safe-reflow-space-substitution-only	DUP	July migration: agent/memory/fleet/markdown-80col-reflow.md
safe-to-start-against-is-a-claim-about-an-answer-you-do-not-have	DUP	agent/memory/roles/steward/a-hypothesis-published-in-a-routing-post-is-executed-as-an-instruction.md
same-class-migration-can-be-inexpressible-in-the-target-mechanism	DUP	agent/memory/fleet/never-pin-a-shape-that-cannot-state-its-own-contract.md
same-word-two-concepts-one-landed-is-a-scoping-trap	DUP	agent/memory/roles/adversary/rank-subclaims-by-load-bearing-not-by-checkability.md
sanctioned-model-stack	OPERATOR	listed for the Steward (not placed in the corpus)
scc-condensation-order-probe-nonentry-member-external-dep	DROP	fixed bug; correct mechanism now documented in frame-pseudocode-diverges-from-landed-mechanism.md
scope-review-vote-to-my-lane	DUP	agent/memory/enclave/scope-review-vote-to-my-lane.md (checked-in copy current; no fold)
scope-wrap-md-80-narrowly-not-whole-file	DROP	root cause already fixed by current wrap-md-80 skill's minimal-touch design
scoping-a-deliverable-out-can-strand-the-acs-defined-on-it	DROP	single incident; marginal beyond existing AC/frame lessons
scratchpad-is-tmpfs-not-disk	DUP	agent/memory/fleet/the-agent-scratchpad-is-tmpfs-so-every-byte-you-write-there-is-ram.md
scripted-publisher-target-is-head-branch-never-main	DUP	agent/memory/fleet/scripted-publisher-target-is-head-branch-never-main.md (checked-in copy current; no fold)
sct-completeness-fix-conservative-construction	DUP	agent/memory/teams/kernel/sct-completeness-fix-conservative-construction.md (checked-in copy current; no fold)
sct-unapplied-self-reference-over-accepts	DUP	agent/memory/teams/kernel/sct-unapplied-self-reference-over-accepts.md (checked-in copy current; no fold)
sealed-carrier-check-the-sibling-carrier-for-an-ungated-premise	DROP	single resolved incident; covered by CHECKS.md#2 fan-in discipline
sealed-catalog-closed-means-one-authoritative-not-frozen-cardinality	DROP	single-incident PX8 ruling; catalog-versioning specifics likely stale
search-for-the-name-the-producer-uses-not-the-consumer	DROP	single-session incident; marginal beyond existing producer/consumer grep lessons
search-your-own-durable-rulings-before-ruling-again	DROP	single-session incident; marginal beyond enclave-ruling-in-thread-is-not-a-durable-deliverable family
seat-on-invalid-model-string-400s-every-turn	DROP	narrow infra incident; looks-idle-but-stalled family already covered elsewhere
seat-work-branches-hold-local-only-commits-and-branch-r-contains-lies	DROP	self-retracted remedy; core point covered by durability/reachability lesson family
second-occurrence-of-idiom-is-a-language-feature-signal	OPERATOR	listed for the Steward (not placed in the corpus)
self-compact-at-33-percent-a-recurring-event-is-never-a-reason-to-defer	OPERATOR	listed for the Steward (not placed in the corpus)
self-compacting-right-after-resolving-swallows-the-announcement	DUP	agent/memory/roles/architect/architect-gate-can-be-skipped-review-on-main.md
separate-judgment-from-action-scripts-gather-facts-i-decide	OPERATOR	listed for the Steward (not placed in the corpus)
separate-the-conclusion-from-the-warrant-when-a-citation-is-narrowed	DUP	agent/memory/fleet/a-claim-accurate-about-something-narrower-than-its-reader-infers.md
settled-operator-approval-is-a-fixed-input-never-re-ask	OPERATOR	listed for the Steward (not placed in the corpus)
shared-tmpdir-exhaustion-reads-as-a-growing-regression	DUP	agent/memory/fleet/a-full-disk-presents-as-a-test-regression-and-df-slash-cannot-see-it.md
sigma-sort-pi-vs-sigma-over-equating	DUP	agent/memory/enclave/sigma-sort-pi-vs-sigma-over-equating.md (checked-in copy current; no fold)
silence-duration-anchor-on-actual-clock-not-last-event	DROP	narrow instance of reconcile-against-full-state rule already covered
silence-from-an-instrument-means-wrong-instrument-until-you-prove-otherwise	DUP	agent/memory/fleet/no-error-in-the-output-passes-when-there-is-no-output.md
since-cursor-poll-misses-owed-items-that-predate-the-cursor-pane-probe-catches-them	DUP	agent/memory/fleet/re-read-latest-events-immediately-before-a-stall-nudge.md
sizing-a-subsume-fix-enumerate-every-piece	DUP	agent/memory/enclave/sizing-a-subsume-fix-enumerate-every-piece.md (checked-in copy current; no fold)
sole-net-prefer-structural-self-evidence-over-positional-scalar	DUP	agent/memory/enclave/sole-net-prefer-structural-self-evidence-over-positional-scalar.md (checked-in copy current; no fold)
sole-verifier-wp-architect-runs-consumer-suite	DUP	agent/memory/build/qa/conformance-hand-feeds-the-deliverable.md
soundness-AC-static-vs-runtime-face	DUP	agent/memory/enclave/soundness-AC-static-vs-runtime-face.md (checked-in copy current; no fold)
spec-claim-kernel-admittance-vs-staging	DUP	agent/memory/enclave/spec-claim-kernel-admittance-vs-staging.md (checked-in copy current; no fold)
spec-conv-omega-shortcut-trap	DUP	agent/memory/enclave/spec-conv-omega-shortcut-trap.md (checked-in copy current; no fold)
spec-enclave-always-compact-before-new-work	DUP	agent/memory/enclave/spec-enclave-always-compact-before-new-work.md (checked-in copy current; no fold)
spec-example-must-satisfy-its-own-rules	DUP	agent/memory/enclave/spec-example-must-satisfy-its-own-rules.md (checked-in copy current; no fold)
specifying-an-interface-one-clause-at-a-time-produces-a-stop-per-clause	DROP	single incident; marginal beyond existing hard-stop-chain lessons
spelling-currency-sweep-separate-from-vacuity	DUP	agent/memory/enclave/spelling-currency-sweep-separate-from-vacuity.md (checked-in copy current; no fold)
spinner-glyph-appears-in-both-active-and-finished-footers-use-the-verb-form	DUP	agent/memory/roles/steward/a-working-idle-grep-keyed-on-one-harnesses-footer-reports-false-idle-on-the-other.md
spinner-verb-is-randomized-detect-esc-to-interrupt-not-the-word	DUP	agent/memory/roles/steward/a-working-idle-grep-keyed-on-one-harnesses-footer-reports-false-idle-on-the-other.md
split-an-authored-test-expectation-into-semantic-which-must-be-lifted-and-structural-which-is-free	DROP	single incident; marginal beyond existing authored-detector lessons
stale-base-candidate-silently-reverts-everything-landed-since	DUP	agent/memory/roles/steward/stale-base-candidate-silently-reverts-everything-landed-since.md (checked-in copy current; no fold)
state-a-diff-claim-against-the-anchor-your-reader-holds	DUP	agent/memory/fleet/a-claim-accurate-about-something-narrower-than-its-reader-infers.md
state-a-premise-in-its-weakest-sufficient-form	DROP	proposed for promotion, not taken: style advice; not selected
state-the-DIRECTION-of-a-weakness-over-strict-or-unsound	DUP	CHECKS.md#1 (agent/memory/fleet/a-pin-cannot-disagree-with-its-own-source.md)
state-the-split-not-the-sum-a-measurement-is-not-a-criterion	DUP	agent/memory/fleet/a-number-sound-as-a-measurement-is-not-sound-as-a-criterion.md
static-export-governing-dynamic-correlation-must-serialize-the-binder-descriptor	DROP	single resolved WP finding (PX7-T, merged); not generalized elsewhere
stating-a-limit-honestly-is-not-the-same-as-stating-what-the-evidence-can-rule-out	DUP	CHECKS.md#8 (agent/memory/fleet/an-acceptance-criterion-must-name-an-observation-the-failing-configuration-does-not-also-produce.md)
steward-coldstart-infra-checks	DUP	agent/memory/roles/steward/steward-coldstart-infra-checks.md (drift folded into it)
steward-publish-invalidates-in-flight-merge-decisions	DROP	superseded by COORDINATION.md's current content-intersection-only stale-base rule
steward-restores-codex-seat-tier-via-tmux-model-selector	DUP	agent/memory/fleet/safety-check-modal-defaults-to-a-model-downgrade.md
steward-work-is-stale-immediately-after-every-publish	DUP	agent/memory/roles/steward/steward-work-is-stale-immediately-after-every-publish.md (checked-in copy current; no fold)
strand-detector-pattern-cannot-match-the-real-composer-text	DUP	agent/memory/roles/steward/a-stranded-delivery-is-corroborated-by-the-recipients-own-status.md
striking-a-row-from-a-record-whose-ordinals-carry-scheduling-meaning-moves-the-schedule	DROP	proposed for promotion, not taken: one ledger incident; not selected
structural-predicate-beats-snapshot-predicate-for-merge-forecasts	DUP	agent/memory/roles/adversary/forecasting-a-merge-is-not-evidence-about-it.md
structural-reachability-beats-empirical-probe-for-dead-code-fix	DUP	agent/memory/build/qa/structural-reachability-beats-empirical-probe-for-dead-code-fix.md (checked-in copy current; no fold)
subsume-idiom-generality-grounds-on-near-path-types	DUP	agent/memory/enclave/sizing-a-subsume-fix-enumerate-every-piece.md
surface-enum-expansion-breaks-checked-program-exhaustiveness-consumers	DUP	agent/memory/fleet/exhaustiveness-comes-from-an-unguarded-arm-not-from-the-match.md
surface-form-migration-trips-two-oracle-classes	DUP	agent/memory/roles/steward/exported-name-migration-needs-whole-harness-consumer-inventory.md
surface-glyph-migration-is-semantic-not-textual	DUP	agent/memory/roles/steward/migration-sweep-glob-must-enumerate-every-ken-source-root.md
